cid,nlane,turn,dnroad,geom,len
4624_4650,3,S#R#U#L,4650_4708#4650_4630#4650_4624#4650_4690,0105000020E61000000100000001020000000500000079A597DE5FAE5D407D30DFB023F03E4081BC704A6DAE5D40FED32E2261F03E4026DC125676AE5D409F950F9C8EF03E40971E2CE77BAE5D404937FC4DACF03E404F17EFE87BAE5D40AE723657ACF03E40,283.30039775116296
4690_4655,2,S#R#U#L,4655_4639#4655_4674#4655_4690#4655_4624,0105000020E610000001000000010200000004000000F5935ABD3DAE5D403E8A21D66EF13E406B7439EB34AE5D40EA6480764DF13E40D10E4D1315AE5D40ACC1C1FFD2F03E40E11DE8BA13AE5D40208F4BE2CDF03E40,366.3053451669499
4742_4674,1,R#S#U#L,4674_4713#4674_4649#4674_4742#4674_4655,0105000020E610000001000000010200000005000000D05FFDAC2DAE5D40605499D6E4F13E40C0A80EA01CAE5D4090267AFAB7F13E4008D6698B08AE5D40B064B5D080F13E4088F373BA01AE5D4080A0CAAD6CF13E4038CB53C0F7AD5D40F0AD22F249F13E40,409.90142758885696
4634_4732,3,R#S#U#L,4732_4745#4732_4881#4732_4634#4732_4724,0105000020E610000001000000010200000004000000493AB99514B15D406BC5ED8623F03E40FAFCE6B41DB15D40FC5069C4CCF03E40CB3E97C226B15D40BB59CD8470F13E408456F52C27B15D4071B3D36AA3F13E40,659.3579734020524
4615_4663,2,S#U#L,4663_4745#4663_4615#4663_4642,0105000020E610000001000000010200000005000000B80A36D607B25D40E074AA6DA4EF3E40D0C379A0E4B15D408057993D11F03E40E0589435D1B15D40A069409953F03E4010063FC0C6B15D400075DFAB82F03E40507FDB85B9B15D40304264AAC3F03E40,669.9025225733419
4663_4745,3,R#U#L,4745_4758#4745_4663#4745_4732,0105000020E610000001000000010200000005000000507FDB85B9B15D40304264AAC3F03E40F02CDBD0B2B15D4080F57E9EE4F03E4030F3236CA2B15D40D00626C534F13E40D071C01191B15D4050A376EA8AF13E40F85F0C2489B15D40809E9892B8F13E40,501.4776751233462
4634_4642,2,S#R#U,4642_4663#4642_4563#4642_4634,0105000020E610000001000000010200000004000000493AB99514B15D406BC5ED8623F03E405E5D5F3520B15D40394D97AC27F03E40A753C32356B15D40DA55690733F03E4056B49CF868B15D402471E2ED39F03E40,493.78098658457105
4642_4663,2,L#R#U,4663_4745#4663_4615#4663_4642,0105000020E61000000100000001020000000500000078A19BF868B15D402043D1ED39F03E4088AC5A1176B15D407048A49343F03E40D8D2EFA480B15D40709B3AE051F03E4038EA2B8C90B15D40F0D1952171F03E40507FDB85B9B15D40304264AAC3F03E40,527.9478964445304
4628_5154,3,S#U#U,5154_5101#5154_4628#5154_5135,0105000020E6100000010000000102000000370000006809788D4EB85D40D0BE5F97A4EF3E4078D64DAD47B85D40D053E19FB7EF3E40E8DD6CA13BB85D40E01F5D16DAEF3E40987A878F33B85D40E0888A52F1EF3E4038AD3E382EB85D403006A7C902F03E40D0859C872BB85D404069F5030EF03E40B811600F28B85D40101F69C122F03E4088EFA19D23B85D40A038CC7941F03E40B8BB398F1CB85D401087B1CE76F03E4048406F3E16B85D40C0DD084EA7F03E401015D7890FB85D40202ED1E4D8F03E40000CFD460DB85D40F070B3D3EAF03E4090D450AA0AB85D40E072CC51FEF03E4018D6EA9E01B85D4050BA81FD35F13E4030B8117CF7B75D40F02EB29F70F13E4070D33060EFB75D40008AB5C5A3F13E4000844B3EEBB75D40006674D0BDF13E40D879C651E8B75D40D0ADA326D1F13E40B006ED17E4B75D4090BEAC6AF8F13E404873B79ADEB75D40A03C572E30F23E40601CCA8DD8B75D40A073620F6DF23E40B0AC8828D3B75D40D06E3A979CF23E4040492904CCB75D4030DB3072E5F23E40C80BB0FCCAB75D40C0736CCDEEF23E4018966F85C9B75D403005BF08F8F23E408065797FC5B75D4000064F7C10F33E4020D1126BBEB75D40D0CB3B0A34F33E40B09F9787B5B75D40E0323D545FF33E40D850B774ABB75D400080613B90F33E40A8027822A0B75D40D084A4BEC8F33E4048C99BFE97B75D4030D81F2BEFF33E40888331E094B75D40B0379BE2FFF33E403809E09191B75D4030806BF911F43E400854182B8FB75D40901C6BB121F43E40F88D5DAC8CB75D40E082DC8734F43E40B0E0F68589B75D4020C5551951F43E40E058028983B75D40A0F7FBDC88F43E40D0C1ECCB7DB75D403007FB02BCF43E40287A207F77B75D4070FBDA44F7F43E4070E39A9874B75D40F014069A0CF53E4048F52D7873B75D4050BA1E4017F53E40C09290BA70B75D4040E9722731F53E4010234F556BB75D40F046FA4F5FF53E40C8DAE14766B75D40E0E064B88DF53E40C0BF9BEA60B75D409061937EC0F53E407819656D5BB75D40C0A0D826EFF53E4008578A2E59B75D40A0CE2A1A08F63E40F0664CAF57B75D409093873413F63E4020D8270954B75D4010436C0929F63E4070148C5C4DB75D40D058C2B451F63E401026CCEE48B75D40D0A5F7E868F63E40A817353244B75D40F0FC7F6285F63E40B83D7AC33DB75D4090FC05B8A9F63E40A87EEFED38B75D40401AA205C6F63E4008B9116A34B75D4000FB12E5E3F63E40,3580.0108014140246
4642_4563,1,R,4563_4554,0105000020E61000000100000001020000000200000078A19BF868B15D402043D1ED39F03E40089FDF2A81B15D4000EB00AE02EF3E40,545.1331419048292
